id,name,model_number__c,CategoryName,AssetTag,SerialNumber,,id,name,,id,name,,id,name,Revision_Date__c,Current_Revision__c,Tool__c
a0Ka000000CKpABEA1,"Thermocouple Wire Set - ""J"" Iron-Constantan - J601-J610","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ60,J601-J610,,,,,,,,,,,,
a0Ka000000CKpBiEAL,"Thermocouple Wire Set - ""J"" Iron-Constantan - J701-J710","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ70,J701-J710,,,,,,,,,,,,
a0Ka000000CKNtUEAX,"Thermocouple Wire Set - ""J"" Iron-Constantan - J801-J816","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ80,J801-J816,,,,,,,,,,,,
a0K1O00000V32vAUAR,"Thermocouple Wire Set - ""K"" Chromel-Alumel - High Temp K","""K"" Chromel-Alumel",Thermocouple Wire Set,,High Temp K,,,,,,,,,,,,
a0Ka000000CKp8UEAT,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K01-K16","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK01,K01-K16,,,,,,,,,,,,
a0K1400000QmhLYEAZ,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K101 - K110","""K"" Chromel-Alumel",Thermocouple Wire Set,,K101 - K110,,,,,,,,,,,,
a0Ka000000Cz2m9EAB,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K201-K214","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK20,K201-K214,,,,,,,,,,,,
a0Ka000000CKNtoEAH,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K301-K314","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK30,K301-K314,,,,,,,,,,,,
a0Ka000000CKp7CEAT,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K401-K416","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK40,K401-K416,,,,,,,,,,,,
a0K1400000RsffxEAB,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K421-K432","""K"" Chromel-Alumel",Thermocouple Wire Set,,K421-K432,,,,,,,,,,,,
a0Ka000000CKp8jEAD,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K521-K534","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK52,K521-K534,,,,,,,,,,,,
a0Ka000000CKp9mEAD,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K601-K610","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK60,K601-K610,,,,,,,,,,,,
a0Ka000000CKp98EAD,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K701-K710","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK70,K701-K710,,,,,,,,,,,,
a0Ka000000Cz2lkEAB,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K801-K816","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK80,K801-K816,,,,,,,,,,,,
a0Ka000000Cz2nCEAR,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K901-K910","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK90,K901-K910,,,,,,,,,,,,
a0K1O00000V32vPUAR,"Thermocouple Wire Set - ""K"" Chromel-Alumel - Ultra High Temp K","""K"" Chromel-Alumel",Thermocouple Wire Set,,Ultra High Temp K,,,,,,,,,,,,
a0Ka000000C6JdAEAV,"Thermocouple Wire Set - ""N"" Nicrosil-Nisil - N01-N16","""N"" Nicrosil-Nisil",Thermocouple Wire Set,TWN01,N01-N16,,,,,,,,,,,,
a0K1400000NXwyFEAT,"Thermocouple Wire Set - ""N"" Nicrosil-Nisil - N101-N112","""N"" Nicrosil-Nisil",Thermocouple Wire Set,TWN10,N101-N112,,,,,,,,,,,,
a0Ka000000Cz2l1EAB,"Thermocouple Wire Set - ""N"" Nicrosil-Nisil - N21-N34","""N"" Nicrosil-Nisil",Thermocouple Wire Set,TWN21,N21-N34,,,,,,,,,,,,
a0K1O00000V32vtUAB,"Thermocouple Wire Set - ""N"" Nicrosil-Nisil - Ultra High Temp N","""N"" Nicrosil-Nisil",Thermocouple Wire Set,,Ultra High Temp N,,,,,,,,,,,,
a0K1O00000V4hm9UAB,"Thermocouple Wire Set - ""T"" Copper-Constantan - T101-T108","""T"" Copper-Constantan",Thermocouple Wire Set,,T101-T108,,,,,,,,,,,,
a0K1400000L8V5zEAF,"Thermocouple Wire Spools - CBL-20-JJ-FEP-FEP-NC, CBL-20-JJ-G-G-NC -","CBL-20-JJ-FEP-FEP-NC, CBL-20-JJ-G-G-NC",Thermocouple Wire Spools,N/A,,,,,,,,,,,,,
a0K1400000L7b4qEAB,Thermocouple Wire Spools - CBL-20-KK-FEP-FEP-NC -,CBL-20-KK-FEP-FEP-NC,Thermocouple Wire Spools,N/A,,,,,,,,,,,,,
a0K1400000L8V0bEAF,Thermocouple Wire Spools - CBL-20-KK-SG(YWRD)-SG(TYW)-NC -,CBL-20-KK-SG(YWRD)-SG(TYW)-NC,Thermocouple Wire Spools,N/A,,,,,,,,,,,,,
a0Ka000000C73CnEAJ,Thermocouple Wire Spools - J20-2-TT -,J20-2-TT,Thermocouple Wire Spools,N/A,,,,,,,,,,,,,
a0K1400000PiX3qEAF,Thermocouple Wire Spools - K20-2-HC -,K20-2-HC,Thermocouple Wire Spools,N/A,,,,,,,,,,,,,
a0K1400000Rsf4XEAR,Thermocouple Wire Spools - T20-2-T -,T20-2-T,Thermocouple Wire Spools,,,,,,,,,,,,,,
a0Ka000000BBmSgEAL,Timer - SPER 810035 - 029531 (AC),SPER 810035,Timer,T2,029531 (AC),,,,,,,,,,,,
a0K1O00000TfUUWUA3,Timer - Sportline 228 - T15 (MC),Sportline 228,Timer,T15,T15 (MC),,,,,,,,,,,,
a0K1O00000TfUUbUAN,Timer - Sportline 228 - T16 (AW),Sportline 228,Timer,T16,T16 (AW),,,,,,,,,,,,
a0Ka000000CI6N5EAL,Timer - Sportline 2787 - L271 (JC),Sportline 2787,Timer,T4,L271 (JC),,,,,,,,,,,,
